"","...1","datetime","depth","heading","lon","lat","videotime"
"1",1,2021-01-07 09:31:07,324.8,174,15.52135717,67.901629,00:00:04
"2",2,2021-01-07 09:31:09,324.9,164,15.52135883,67.9016285,00:00:06
"3",3,2021-01-07 09:31:11,325.2,164,15.52136583,67.90162833,00:00:07
"4",4,2021-01-07 09:31:13,325.8,183,15.5213705,67.90162683,00:00:09
"5",5,2021-01-07 09:31:15,326.5,192,15.52137817,67.90162633,00:00:11
"6",6,2021-01-07 09:31:17,326.8,201,15.52137767,67.90162633,00:00:13
"7",7,2021-01-07 09:31:19,327.1,202,15.52138483,67.9016225,00:00:15
"8",8,2021-01-07 09:31:21,326.9,194,15.52138767,67.901618,00:00:17
"9",9,2021-01-07 09:31:23,326.8,199,15.52138983,67.90161117,00:00:19
"10",10,2021-01-07 09:31:25,326.5,206,15.5213945,67.9016035,00:00:20
"11",11,2021-01-07 09:31:27,326.4,209,15.52138433,67.90158933,00:00:24
"12",12,2021-01-07 09:31:29,325.9,213,15.52137783,67.90158233,00:00:26
"13",13,2021-01-07 09:31:31,325.6,217,15.52135883,67.90157617,00:00:28
"14",14,2021-01-07 09:31:33,325.4,215,15.52133933,67.90157083,00:00:30
"15",15,2021-01-07 09:31:35,325.2,212,15.52132017,67.90156567,00:00:32
"16",16,2021-01-07 09:31:37,325,206,15.5213025,67.90155917,00:00:33
"17",17,2021-01-07 09:31:39,324.8,204,15.5212905,67.9015565,00:00:35
"18",18,2021-01-07 09:31:41,324.5,201,15.5212755,67.90155433,00:00:37
"19",19,2021-01-07 09:31:43,324.3,197,15.52126417,67.90155367,00:00:39
"20",20,2021-01-07 09:31:45,324.1,195,15.52124917,67.901557,00:00:41
"21",21,2021-01-07 09:31:47,323.9,196,15.52123567,67.90156033,00:00:43
"22",22,2021-01-07 09:31:49,323.5,194,15.52122817,67.90155967,00:00:44
"23",23,2021-01-07 09:31:51,323.2,191,15.521218,67.90155683,00:00:46
"24",24,2021-01-07 09:31:53,323.1,190,15.521215,67.9015485,00:00:50
"25",25,2021-01-07 09:31:55,323.1,187,15.5212125,67.90154333,00:00:52
"26",26,2021-01-07 09:31:57,323,187,15.521212,67.90154167,00:00:54
"27",27,2021-01-07 09:31:59,322.9,189,15.52121467,67.90154033,00:00:56
"28",28,2021-01-07 09:32:01,322.6,187,15.52122033,67.90153717,00:00:57
"29",29,2021-01-07 09:32:03,322.2,189,15.52122233,67.90153083,00:00:59
"30",30,2021-01-07 09:32:05,322,186,15.52122533,67.90152833,00:01:01
"31",31,2021-01-07 09:32:07,321.8,179,15.52123983,67.90152367,00:01:03
"32",32,2021-01-07 09:32:09,321.6,183,15.5212475,67.90151917,00:01:05
"33",33,2021-01-07 09:32:11,321.3,186,15.5212625,67.901513,00:01:07
"34",34,2021-01-07 09:32:13,320.8,190,15.5212765,67.90150783,00:01:09
"35",35,2021-01-07 09:32:15,320.4,194,15.52128533,67.90150183,00:01:10
"36",36,2021-01-07 09:32:17,320.4,193,15.52128833,67.9014975,00:01:12
"37",37,2021-01-07 09:32:19,320.3,197,15.52129067,67.90149217,00:01:16
"38",38,2021-01-07 09:32:21,320.3,199,15.52129033,67.9014925,00:01:18
"39",39,2021-01-07 09:32:23,320,198,15.52129467,67.90149617,00:01:20
"40",40,2021-01-07 09:32:25,320,200,15.52129733,67.90149667,00:01:22
"41",41,2021-01-07 09:32:27,320,199,15.52130167,67.90149333,00:01:23
"42",42,2021-01-07 09:32:29,319.7,197,15.521298,67.90149333,00:01:25
"43",43,2021-01-07 09:32:31,319.6,197,15.52129467,67.90148733,00:01:27
"44",44,2021-01-07 09:32:33,319.4,195,15.521294,67.90148533,00:01:29
"45",45,2021-01-07 09:32:35,319.2,195,15.52129433,67.90148317,00:01:31
"46",46,2021-01-07 09:32:37,319,193,15.52128617,67.90148117,00:01:33
"47",47,2021-01-07 09:32:39,318.8,194,15.52128317,67.90147767,00:01:35
"48",48,2021-01-07 09:32:41,318.7,197,15.5212825,67.901481,00:01:36
"49",49,2021-01-07 09:32:43,318.5,191,15.52126833,67.90148083,00:01:40
"50",50,2021-01-07 09:32:45,318.7,195,15.5212595,67.90148,00:01:42
